pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2024-05-26,78.9,-1.04,5.65,"Yamamoto, Yoshinobu",641584,808967,,foul,,,,,7.0,Foul,R,L,R,CIN,LAD,S,,,1,0,2024,1.12,-1.68,-0.37,1.94,,682829.0,668715.0,2,3,Bot,,,,,,,-0.6342907042079349,-114.63028547313137,2.177360911766521,9.724424812144507,29.202248931292008,-47.45018735925502,3.37,1.61,,,,77.9,2834.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.97,,,,,,,,23,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,34.0,-0.001,-0.042,72.9,8.1,,0.042,,0,0,0.5490031591863661,0.5490031591863661,25,29,26,29,2,1,6.0,1.0,6.0,1.0,5.48,-1.12,1.12,50.0,23.56794338579686,-18.476086649057542,35.723399933524234,41.04792995909298,39.78277710652933
CU,2024-05-26,78.5,-1.18,5.66,"Yamamoto, Yoshinobu",641584,808967,,ball,,,,,13.0,Ball,R,L,R,CIN,LAD,B,,,0,0,2024,1.1,-1.25,-0.54,1.32,,682829.0,668715.0,2,3,Bot,,,,,,,-0.65348400890557,-114.17444705970884,-0.0774932223595619,9.659642134645049,25.236974648353204,-43.14790472933845,3.25,1.46,,,,78.3,2890.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.85,,,,,,,,23,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,36.0,-0.001,0.026,,,,-0.026,,0,0,0.5490031591863661,0.5490031591863661,25,29,26,29,2,1,6.0,1.0,6.0,1.0,5.01,-1.1,1.1,50.3,,,,,
CU,2024-05-26,77.6,-1.1,5.7,"Yamamoto, Yoshinobu",668715,808967,force_out,hit_into_play,,,,,8.0,"Spencer Steer grounds into a force out, fielded by third baseman Enrique Hernández. Jacob Hurtubise out at 3rd. Elly De La Cruz to 2nd. Spencer Steer to 1st.",R,R,R,CIN,LAD,X,5.0,ground_ball,1,1,2024,1.38,-1.48,0.01,2.09,,674441.0,682829.0,1,3,Bot,102.02,174.93,,,,,-0.1555332306698691,-112.82098009112988,2.108981943961683,11.593525053189952,25.31327772302792,-45.30490070412673,3.35,1.62,2.0,61.2,-47.0,77.2,2831.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.89,0.283,0.266,0.0,1.0,0.0,0.0,2.0,22,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,33.0,-0.051,-0.282,,,0.322,0.282,88.0,0,0,0.5990688642738592,0.5990688642738592,25,26,26,27,2,1,6.0,1.0,6.0,1.0,5.34,-1.38,-1.38,51.8,,,,,
FF,2024-05-26,95.1,-1.3,5.64,"Yamamoto, Yoshinobu",668715,808967,,ball,,,,,11.0,Ball,R,R,R,CIN,LAD,B,,,0,1,2024,-0.5,1.3,-0.37,3.65,,674441.0,682829.0,1,3,Bot,,,,,,,3.5648832266961437,-138.46584665872777,-2.454519727630922,-7.286419953611277,33.471761796464044,-15.184627585133592,3.17,1.44,,,,95.2,2356.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.98,,,,,,,,22,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212.0,-0.003,0.015,,,,-0.015,,0,0,0.5990688642738592,0.5990688642738592,25,26,26,27,2,1,6.0,1.0,6.0,1.0,1.23,0.5,0.5,45.5,,,,,
CU,2024-05-26,78.2,-1.02,5.76,"Yamamoto, Yoshinobu",668715,808967,,called_strike,,,,,5.0,Called Strike,R,R,R,CIN,LAD,S,,,0,0,2024,1.14,-1.46,0.05,2.09,,674441.0,682829.0,1,3,Bot,,,,,,,0.2113454105754436,-113.68494496945176,1.8947531943810767,9.574071783068437,27.197788759626462,-45.27701001919149,3.2,1.49,,,,77.4,2914.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,,,,,,,22,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,35.0,-0.003,-0.039,,,,0.039,,0,0,0.5990688642738592,0.5990688642738592,25,26,26,27,2,1,6.0,1.0,6.0,1.0,5.29,-1.14,-1.14,49.4,,,,,
FF,2024-05-26,96.0,-1.3,5.56,"Yamamoto, Yoshinobu",682829,808967,walk,ball,,,,,13.0,Elly De La Cruz walks. Jacob Hurtubise to 2nd.,R,L,R,CIN,LAD,B,,,3,0,2024,-0.98,1.46,-0.84,2.77,,,674441.0,1,3,Bot,,,,,,,3.4713705948241937,-139.76389644887212,-5.129647027592368,-13.646182233320188,31.480919409835487,-12.094620222296076,3.71,1.86,,,,96.4,2314.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,0.689131,0.7,1.0,0.0,0.0,,21,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.038,0.12,,,,-0.12,,0,0,0.557869908128062,0.557869908128062,25,22,26,22,2,1,6.0,1.0,6.0,1.0,1.01,0.98,-0.98,45.2,,,,,
CU,2024-05-26,77.3,-1.07,5.71,"Yamamoto, Yoshinobu",682829,808967,,ball,,,,,14.0,Ball,R,L,R,CIN,LAD,B,,,2,0,2024,1.33,-1.61,0.43,1.36,,,674441.0,1,3,Bot,,,,,,,0.7361819559812823,-112.24849640243394,1.044466450811498,10.623884447721322,30.68247630612941,-45.89550107642809,3.53,1.52,,,,75.8,2960.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.96,,,,,,,,21,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,34.0,-0.001,0.102,,,,-0.102,,0,0,0.557869908128062,0.557869908128062,25,22,26,22,2,1,6.0,1.0,6.0,1.0,5.61,-1.33,1.33,49.6,,,,,
FS,2024-05-26,91.8,-1.28,5.65,"Yamamoto, Yoshinobu",682829,808967,,ball,,,,,13.0,Ball,R,L,R,CIN,LAD,B,,,1,0,2024,-1.26,0.58,-0.26,1.08,,,674441.0,1,3,Bot,,,,,,,5.347495228402121,-133.47046691619173,-6.992814608245169,-16.199284019122047,29.47856060972998,-23.90731514049837,3.69,1.7,,,,92.3,1522.0,6.7,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.78,,,,,,,,21,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,225.0,-0.001,0.056,,,,-0.056,,0,0,0.557869908128062,0.557869908128062,25,22,26,22,2,1,6.0,1.0,6.0,1.0,2.14,1.26,-1.26,46.5,,,,,
CU,2024-05-26,77.3,-1.27,5.65,"Yamamoto, Yoshinobu",682829,808967,,blocked_ball,,,,,14.0,Ball In Dirt,R,L,R,CIN,LAD,B,,,0,0,2024,1.4,-1.51,0.06,0.64,,,674441.0,1,3,Bot,,,,,,,0.2818143030989112,-112.38898961414584,-0.7755602715669633,11.580639942975624,25.910719447253747,-44.81932380282705,3.69,1.65,,,,76.7,2809.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.93,,,,,,,,21,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,32.0,-0.001,0.036,,,,-0.036,,0,0,0.557869908128062,0.557869908128062,25,22,26,22,2,1,6.0,1.0,6.0,1.0,5.42,-1.4,1.4,49.4,,,,,
FF,2024-05-26,96.8,-1.22,5.7,"Yamamoto, Yoshinobu",674441,808967,single,hit_into_play,,,,,4.0,Jacob Hurtubise singles on a line drive to left fielder Teoscar Hernández.,R,L,R,CIN,LAD,X,7.0,line_drive,2,2,2024,-0.52,1.44,-0.53,2.18,,,,1,3,Bot,66.52,117.83,,,,,3.050906309401776,-140.90036281295892,-7.155340316688381,-7.666641013661022,31.160744345541836,-11.572426461094206,3.31,1.63,213.0,73.2,21.0,97.3,2106.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,54.02,0.969,0.882,0.9,1.0,1.0,0.0,4.0,20,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,0.027,0.453,68.2,6.8,1.028,-0.453,88.0,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,0.99,0.52,-0.52,47.2,-7.517111024503064,8.904845986982583,39.66827648440574,38.91198261389853,18.46121969276355
CU,2024-05-26,79.4,-1.15,5.69,"Yamamoto, Yoshinobu",674441,808967,,foul,,,,,7.0,Foul,R,L,R,CIN,LAD,S,,,2,2,2024,0.82,-1.24,-0.54,2.03,,,,1,3,Bot,,,,,,,-0.2035388821030899,-115.46048084200798,1.2218538943309902,7.265054895748597,25.288705171256087,-43.63912476847336,3.31,1.63,246.0,76.1,37.0,79.1,2758.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,,,,,,,20,5,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,32.0,-0.001,0.0,65.4,6.7,,0.0,88.0,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,4.91,-0.82,0.82,51.9,-5.623203552330273,3.4757938624883566,38.0140431923514,38.898981656185136,26.545554320842047
FF,2024-05-26,95.5,-1.28,5.58,"Yamamoto, Yoshinobu",674441,808967,,foul,,,,,12.0,Foul,R,L,R,CIN,LAD,S,,,2,1,2024,-0.44,1.24,0.94,2.93,,,,1,3,Bot,,,,,,,6.869911846729492,-139.0413496535266,-4.212068179645696,-7.184809913750204,27.67893438319364,-15.338303483934611,3.31,1.63,74.0,66.2,82.0,96.4,2255.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.98,,,,,,,,20,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213.0,-0.001,-0.078,66.7,6.7,,0.078,88.0,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,1.24,0.44,-0.44,46.8,12.483720105095754,-14.246194838309105,31.028224387839103,21.36858118065828,31.40022663265453
CU,2024-05-26,74.5,-1.1,5.78,"Yamamoto, Yoshinobu",674441,808967,,ball,,,,,11.0,Ball,R,L,R,CIN,LAD,B,,,1,1,2024,1.04,-1.41,-1.0,3.13,,,,1,3,Bot,,,,,,,-1.6294316994986997,-108.44509066865932,4.2496916584133535,8.456523576642303,18.849982082092193,-44.271864332788375,3.17,1.46,,,,74.7,2619.0,6.4,746711,605131,518692,666158,571771,605141,606192,681624,518792,54.07,,,,,,,,20,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,31.0,-0.001,0.059,,,,-0.059,,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,5.51,-1.04,1.04,51.9,,,,,
FF,2024-05-26,94.3,-1.28,5.68,"Yamamoto, Yoshinobu",674441,808967,,ball,,,,,11.0,Ball,R,L,R,CIN,LAD,B,,,0,1,2024,-0.27,1.5,-0.85,3.31,,,,1,3,Bot,,,,,,,1.718881035387943,-137.21153753668463,-3.794510792134988,-3.771892823509341,32.29179873915396,-12.629474404157374,3.27,1.54,,,,94.4,2182.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,,,,,,,20,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208.0,-0.001,0.024,,,,-0.024,,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,1.08,0.27,-0.27,46.8,,,,,
FF,2024-05-26,94.7,-1.36,5.62,"Yamamoto, Yoshinobu",674441,808967,,called_strike,,,,,4.0,Called Strike,R,L,R,CIN,LAD,S,,,0,0,2024,-0.55,1.29,-0.68,2.42,,,,1,3,Bot,,,,,,,3.0321008625191808,-137.7815253018302,-5.593942920820101,-7.74188225624891,31.46166653714646,-14.693164970961217,3.32,1.54,,,,95.0,2218.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.97,,,,,,,,20,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,-0.001,-0.037,,,,0.037,,0,0,0.5303767125250396,0.5303767125250396,25,26,26,27,2,1,6.0,1.0,6.0,1.0,1.26,0.55,-0.55,44.9,,,,,
FS,2024-05-26,90.3,-1.33,5.6,"Yamamoto, Yoshinobu",666181,808967,strikeout,swinging_strike,,,,,13.0,Will Benson strikes out swinging.,R,L,R,CIN,LAD,S,2.0,,0,2,2024,-0.99,0.35,-1.11,1.88,,,,0,3,Bot,,,,,,,2.6663684476624003,-131.36573955796584,-4.009697237993154,-12.01988221200537,30.455732044061467,-27.437301692457435,3.75,1.79,,,,90.3,1326.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,0.0,0.0,1.0,0.0,0.0,,19,3,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,231.0,-0.026,-0.163,65.3,8.2,,0.163,,0,0,0.5552305102216104,0.5552305102216104,25,26,26,26,1,0,6.0,1.0,6.0,1.0,2.47,0.99,-0.99,45.3,20.002705624814045,-12.91469677736745,29.808362077669265,56.27031864993128,30.96157865908816
FF,2024-05-26,95.2,-1.25,5.62,"Yamamoto, Yoshinobu",666181,808967,,foul,,,,,3.0,Foul,R,L,R,CIN,LAD,S,,,0,1,2024,-0.57,1.5,0.47,3.29,,,,0,3,Bot,,,,,,,5.798275182598521,-138.44874473757787,-3.798771214237335,-8.626334791931022,32.59932969210971,-12.262397930880084,3.75,1.79,182.0,85.5,65.0,95.2,2291.0,6.4,746711,605131,518692,666158,571771,605141,606192,681624,518792,54.06,,,,,,,,19,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,-0.001,-0.054,67.4,6.8,,0.054,88.0,0,0,0.5552305102216104,0.5552305102216104,25,26,26,26,1,0,6.0,1.0,6.0,1.0,1.03,0.57,-0.57,45.1,9.233476358012078,0.3605867045391979,31.21949029142749,37.514461010133566,23.844381422662025
CU,2024-05-26,76.1,-1.02,5.84,"Yamamoto, Yoshinobu",666181,808967,,called_strike,,,,,8.0,Called Strike,R,L,R,CIN,LAD,S,,,0,0,2024,0.67,-1.39,-0.03,1.69,,,,0,3,Bot,,,,,,,0.8707199594095569,-110.75285968482744,1.001104638813221,5.242253465952774,24.09152008777285,-43.89361211892019,3.53,1.65,,,,75.9,2724.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.89,,,,,,,,19,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,30.0,-0.001,-0.037,,,,0.037,,0,0,0.5552305102216104,0.5552305102216104,25,26,26,26,1,0,6.0,1.0,6.0,1.0,5.4,-0.67,0.67,54.2,,,,,
FF,2024-05-26,95.6,-1.28,5.6,"Yamamoto, Yoshinobu",571912,808967,field_out,hit_into_play,,,,,9.0,"Luke Maile grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",R,R,R,CIN,LAD,X,4.0,ground_ball,1,1,2024,-0.72,1.37,0.52,1.81,,,605361.0,2,2,Bot,159.33,153.89,,,,,6.394246531070916,-138.8802767702222,-7.426203626349977,-10.8091194091023,34.5223325678497,-12.975026732525857,3.28,1.54,8.0,88.0,-12.0,95.7,2322.0,6.7,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.84,0.14,0.104,0.0,1.0,0.0,0.0,2.0,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,-0.024,-0.256,67.0,6.2,0.192,0.256,88.0,0,0,0.5236735146999751,0.5236735146999751,25,33,26,33,1,0,6.0,3.0,6.0,3.0,1.16,0.72,0.72,45.4,-2.112557394137651,18.26204816504268,40.275486188358165,43.2763989469964,20.243359187310343
CU,2024-05-26,77.6,-1.01,5.75,"Yamamoto, Yoshinobu",571912,808967,,called_strike,,,,,4.0,Called Strike,R,R,R,CIN,LAD,S,,,1,0,2024,1.24,-1.5,-0.8,1.99,,,605361.0,2,2,Bot,,,,,,,-1.8198593307099815,-112.7337072761678,1.908335174707475,10.705108003189816,27.60662969379047,-45.36547854898188,3.02,1.26,,,,76.7,2934.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.95,,,,,,,,15,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,33.0,0.0,-0.048,,,,0.048,,0,0,0.5236735146999751,0.5236735146999751,25,33,26,33,1,0,6.0,3.0,6.0,3.0,5.41,-1.24,-1.24,51.5,,,,,
FF,2024-05-26,94.9,-1.18,5.58,"Yamamoto, Yoshinobu",571912,808967,,ball,,,,,14.0,Ball,R,R,R,CIN,LAD,B,,,0,0,2024,-0.75,1.19,1.22,1.18,,,605361.0,2,2,Bot,,,,,,,7.984999403138988,-137.72186572074492,-8.47545074286868,-11.362208150095364,33.157231139699995,-15.220895131635356,3.13,1.45,,,,94.8,2287.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.93,,,,,,,,15,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.0,0.034,,,,-0.034,,0,0,0.5236735146999751,0.5236735146999751,25,33,26,33,1,0,6.0,3.0,6.0,3.0,1.37,0.75,0.75,46.3,,,,,
CU,2024-05-26,78.2,-0.99,5.7,"Yamamoto, Yoshinobu",669289,808967,strikeout,swinging_strike,,,,,14.0,Santiago Espinal strikes out swinging.,R,R,R,CIN,LAD,S,2.0,,2,2,2024,0.71,-1.56,0.49,1.08,,,605361.0,1,2,Bot,,,,,,,1.869207527884425,-113.71959431996405,0.0139247179828607,5.633907242033119,26.70372477815752,-45.729278518002545,3.46,1.66,,,,77.7,2880.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.87,,0.0,0.0,1.0,0.0,0.0,,14,6,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,28.0,-0.03,-0.229,66.3,8.2,,0.229,,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,5.38,-0.71,-0.71,51.4,19.305352238952032,-18.334218430134296,36.56385453342615,39.4659199200904,43.56209195335907
FS,2024-05-26,91.0,-1.25,5.69,"Yamamoto, Yoshinobu",669289,808967,,foul,,,,,13.0,Foul,R,R,R,CIN,LAD,S,,,2,2,2024,-1.08,0.12,-0.94,2.3,,,605361.0,1,2,Bot,,,,,,,3.118452809308794,-132.41297313480507,-2.852137604204202,-13.344143633552235,29.951117901362668,-30.28808550073892,3.46,1.66,287.0,99.6,19.0,91.3,1429.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.88,,,,,,,,14,5,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,228.0,-0.001,0.0,64.3,7.5,,0.0,99.6,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,2.64,1.08,1.08,48.3,15.245618261100866,-20.19200053978816,35.40755094001467,22.14106101821351,38.08740652664381
FF,2024-05-26,95.9,-1.09,5.58,"Yamamoto, Yoshinobu",669289,808967,,called_strike,,,,,14.0,Called Strike,R,R,R,CIN,LAD,S,,,2,1,2024,-0.55,1.42,1.07,1.88,,,605361.0,1,2,Bot,,,,,,,6.997741296866096,-139.44491309503138,-7.458891115022283,-8.676005953734697,29.47051844870503,-12.201277109916724,3.2,1.52,,,,96.8,2320.0,6.7,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.77,,,,,,,,14,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,-0.001,-0.057,,,,0.057,,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,1.05,0.55,0.55,43.0,,,,,
FF,2024-05-26,96.3,-1.17,5.62,"Yamamoto, Yoshinobu",669289,808967,,ball,,,,,14.0,Ball,R,R,R,CIN,LAD,B,,,1,1,2024,-0.68,1.41,1.23,1.94,,,605361.0,1,2,Bot,,,,,,,7.951341806799338,-139.982042785462,-7.46332702238069,-10.665417916265431,30.090134800544966,-12.047308421504908,3.2,1.53,,,,97.0,2264.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.87,,,,,,,,14,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,-0.001,0.046,,,,-0.046,,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,1.04,0.68,0.68,45.9,,,,,
CU,2024-05-26,80.3,-1.04,5.73,"Yamamoto, Yoshinobu",669289,808967,,ball,,,,,14.0,Ball,R,R,R,CIN,LAD,B,,,0,1,2024,1.1,-1.28,0.89,1.44,,,605361.0,1,2,Bot,,,,,,,2.217922814379678,-116.97892466320204,-0.3393342254192741,9.569942673289006,23.67608010426043,-44.052005871982885,3.26,1.53,,,,80.5,2944.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.99,,,,,,,,14,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,36.0,-0.001,0.029,,,,-0.029,,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,4.83,-1.1,-1.1,52.7,,,,,
FF,2024-05-26,95.2,-1.29,5.55,"Yamamoto, Yoshinobu",669289,808967,,foul,,,,,5.0,Foul,R,R,R,CIN,LAD,S,,,0,0,2024,-0.62,1.34,-0.09,2.59,,,605361.0,1,2,Bot,,,,,,,4.597996597799352,-138.6041658375947,-5.169076712635143,-9.036851993412077,30.471632270353837,-13.930127673079328,3.46,1.66,139.0,80.6,72.0,95.9,2026.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.85,,,,,,,,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,-0.001,-0.04,72.7,7.8,,0.04,88.0,0,0,0.5538290178370997,0.5538290178370997,25,29,26,30,1,0,6.0,1.0,6.0,1.0,1.17,0.62,0.62,42.0,13.906567770198128,-11.355010412573195,35.61795037945672,34.847947936215974,33.168189122368716
FS,2024-05-26,91.2,-1.17,5.68,"Yamamoto, Yoshinobu",605361,808967,single,hit_into_play,,,,,4.0,Nick Martini singles on a line drive to left fielder Teoscar Hernández.,R,L,R,CIN,LAD,X,7.0,line_drive,2,2,2024,-0.38,0.25,-0.74,2.69,,,,1,2,Bot,78.52,112.01,,,,,1.9125230507564064,-132.9356084085058,-2.276752702878328,-4.939708979137245,25.496903536714957,-28.922179142516217,3.39,1.66,248.0,91.2,16.0,92.2,1294.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.97,0.877,0.848,0.9,1.0,1.0,0.0,4.0,13,6,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,239.0,0.025,0.453,65.8,6.6,1.061,-0.453,91.2,0,0,0.5281110468127662,0.5281110468127662,25,34,26,34,1,0,6.0,2.0,6.0,1.0,2.46,0.38,-0.38,48.1,8.122287073932785,22.842937995827356,22.707182645853635,44.783509611609055,19.819756047022196
FS,2024-05-26,91.2,-1.11,5.75,"Yamamoto, Yoshinobu",605361,808967,,foul,,,,,13.0,Foul,R,L,R,CIN,LAD,S,,,2,2,2024,-0.59,0.36,-0.89,2.07,,,,1,2,Bot,,,,,,,1.8238070245085296,-132.73498108155468,-4.11289858631041,-7.346617871966881,30.02370210654623,-27.19986783320652,3.39,1.66,3.0,71.0,-33.0,91.3,1416.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,54.01,,,,,,,,13,5,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,225.0,-0.001,0.0,67.6,7.2,,0.0,88.0,0,0,0.5281110468127662,0.5281110468127662,25,34,26,34,1,0,6.0,2.0,6.0,1.0,2.39,0.59,-0.59,50.2,14.709234178985376,6.3616007793363725,24.69833190721764,47.43867300643888,21.648834618334163
FF,2024-05-26,96.0,-1.17,5.67,"Yamamoto, Yoshinobu",605361,808967,,foul,,,,,4.0,Foul,R,L,R,CIN,LAD,S,,,2,1,2024,-0.55,1.5,-0.44,2.82,,,,1,2,Bot,,,,,,,3.190361178364361,-139.73472751188743,-5.338290928590216,-7.930695983420879,32.67553049053896,-11.54010979026469,3.39,1.66,233.0,80.4,51.0,96.3,2243.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.97,,,,,,,,13,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212.0,-0.001,-0.078,63.5,6.0,,0.078,88.0,0,0,0.5281110468127662,0.5281110468127662,25,34,26,34,1,0,6.0,2.0,6.0,1.0,0.98,0.55,-0.55,46.1,-1.7173615279241785,19.035543489090873,28.859031549576997,42.11568600942148,15.966130803048117
FF,2024-05-26,96.1,-1.07,5.65,"Yamamoto, Yoshinobu",605361,808967,,ball,,,,,13.0,Ball,R,L,R,CIN,LAD,B,,,1,1,2024,-0.68,1.32,-0.08,1.3,,,,1,2,Bot,,,,,,,4.150776898108436,-139.7013241158878,-8.984223895788034,-9.811869351285296,29.06220386771145,-13.031345345720515,3.38,1.54,,,,96.6,2258.0,6.5,746711,605131,518692,666158,571771,605141,606192,681624,518792,54.03,,,,,,,,13,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212.0,-0.001,0.059,,,,-0.059,,0,0,0.5281110468127662,0.5281110468127662,25,34,26,34,1,0,6.0,2.0,6.0,1.0,1.13,0.68,-0.68,48.7,,,,,
FF,2024-05-26,95.7,-1.16,5.66,"Yamamoto, Yoshinobu",605361,808967,,called_strike,,,,,4.0,Called Strike,R,L,R,CIN,LAD,S,,,1,0,2024,-0.58,1.28,-0.69,2.39,,,,1,2,Bot,,,,,,,2.5576222984627104,-139.30345841087433,-5.949534824536444,-8.173113061933424,29.70863550275959,-14.317176938190556,3.43,1.44,,,,96.4,2131.0,6.6,746711,605131,518692,666158,571771,605141,606192,681624,518792,53.94,,,,,,,,13,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,-0.001,-0.051,,,,0.051,,0,0,0.5281110468127662,0.5281110468127662,25,34,26,34,1,0,6.0,2.0,6.0,1.0,1.19,0.58,-0.58,47.3,,,,,
