pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2024-03-30,77.5,-1.07,5.52,"Yamamoto, Yoshinobu",572761,808967,strikeout,called_strike,,,,,4.0,Matt Carpenter called out on strikes.,R,L,R,LAD,STL,S,2.0,,3,2,2024,0.99,-1.36,-0.74,3.06,,,,0,5,Top,,,,,,,-1.1091429291124206,-112.60682751046662,4.267178566905251,8.575174193317688,22.81105339294506,-44.77673375195061,3.61,1.86,,,,77.3,2818.0,6.5,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.01,,0.0,0.0,1.0,0.0,0.0,,31,7,Curveball,0,0,0,0,0,0,0,0,Infield shade,Strategic,33.0,0.03,-0.333,,,,0.333,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,5.21,-0.99,0.99,48.9,,,,,
FF,2024-03-30,94.9,-1.18,5.41,"Yamamoto, Yoshinobu",572761,808967,,ball,,,,,12.0,Ball,R,L,R,LAD,STL,B,,,2,2,2024,-0.81,1.5,0.91,3.11,,,,0,5,Top,,,,,,,7.314993523487409,-137.9794703929586,-3.682836210698121,-12.009218983035504,32.954486806798606,-12.501813068686555,3.78,1.9,,,,95.2,2223.0,6.7,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.82,,,,,,,,31,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,219.0,0.0,0.107,,,,-0.107,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,1.06,0.81,-0.81,41.2,,,,,
FS,2024-03-30,90.2,-1.27,5.5,"Yamamoto, Yoshinobu",572761,808967,,ball,,,,,13.0,Ball,R,L,R,LAD,STL,B,,,1,2,2024,-1.38,0.33,-1.47,1.35,,,,0,5,Top,,,,,,,2.433056232695334,-131.2329505787637,-5.019170417874761,-16.34792621721733,30.307869639482107,-27.497304274846776,3.7,1.98,,,,,,,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.13,,,,,,,,31,5,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,,0.0,0.04,,,,-0.04,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,2.5,1.38,-1.38,,,,,,
FS,2024-03-30,90.4,-1.26,5.43,"Yamamoto, Yoshinobu",572761,808967,,foul,,,,,13.0,Foul,R,L,R,LAD,STL,S,,,1,2,2024,-1.1,0.26,-0.27,1.28,,,,0,5,Top,,,,,,,4.822417884461215,-131.51741518968896,-4.966377364577106,-13.811267325793777,26.895526873913003,-28.35195077968662,3.57,1.74,,,,,,,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.13,,,,,,,,31,4,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,,0.0,0.0,,,,0.0,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,2.52,1.1,-1.1,,,,,,
CU,2024-03-30,76.1,-1.04,5.53,"Yamamoto, Yoshinobu",572761,808967,,called_strike,,,,,3.0,Called Strike,R,L,R,LAD,STL,S,,,1,1,2024,1.14,-1.23,0.44,3.37,,,,0,5,Top,,,,,,,1.0508397348411656,-110.60368659522489,4.849278652079015,9.100450025566612,22.109369116257152,-43.40077796022373,3.71,1.9,,,,,,,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.13,,,,,,,,31,3,Curveball,0,0,0,0,0,0,0,0,Standard,Strategic,,0.0,-0.056,,,,0.056,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,5.22,-1.14,1.14,,,,,,
FF,2024-03-30,94.1,-1.32,5.44,"Yamamoto, Yoshinobu",572761,808967,,ball,,,,,6.0,Ball,R,L,R,LAD,STL,B,,,0,1,2024,-0.8,1.3,0.72,3.03,,,,0,5,Top,,,,,,,7.060109250393614,-136.86833795782795,-3.417385414534035,-11.6463382529558,30.656656036510277,-15.30789622445178,3.79,1.86,,,,,,,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.13,,,,,,,,31,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,,0.0,0.025,,,,-0.025,,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,1.28,0.8,-0.8,,,,,,
FF,2024-03-30,94.3,-1.27,5.42,"Yamamoto, Yoshinobu",572761,808967,,foul,,,,,4.0,Foul,R,L,R,LAD,STL,S,,,0,0,2024,-0.72,1.21,-0.48,2.43,,,,0,5,Top,,,,,,,3.670502144372783,-137.24720428346518,-4.811387217426005,-9.944459166255436,29.43911664442148,-15.946235735310662,3.57,1.74,220.0,85.7,56.0,,,,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.13,,,,,,,,31,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,,0.0,-0.037,,,,0.037,88.0,0,0,0.4999999999999803,0.5000000000000198,25,38,26,39,2,1,9.0,1.0,7.0,2.0,1.34,0.72,-0.72,,,,,,
FF,2024-03-30,93.9,-1.38,5.47,"Yamamoto, Yoshinobu",571448,808967,field_out,hit_into_play,,,,,3.0,"Nolan Arenado grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,R,LAD,STL,X,6.0,ground_ball,0,0,2024,-0.61,1.14,0.55,2.89,,,,2,4,Top,103.86,149.55,,,,,6.3201248527219915,-136.6464946854753,-3.5269235912585963,-8.89460944867989,26.995262520884292,-17.263787240700303,3.37,1.67,17.0,94.7,-9.0,94.3,2107.0,6.3,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.21,0.203,0.169,0.0,1.0,0.0,0.0,2.0,27,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.012,-0.256,,,0.225,0.256,94.7,0,0,0.547166860694605,0.452833139305395,25,33,26,33,2,1,9.0,1.0,7.0,1.0,1.42,0.61,0.61,40.3,,,,,
FF,2024-03-30,94.6,-1.27,5.38,"Yamamoto, Yoshinobu",669357,808967,field_out,hit_into_play,,,,,8.0,"Nolan Gorman grounds out, first baseman Freddie Freeman to pitcher Yoshinobu Yamamoto.",R,L,R,LAD,STL,X,3.0,ground_ball,2,0,2024,-0.57,1.39,0.25,1.98,,,,1,4,Top,156.04,158.17,,,,,5.272856751054459,-137.67523868020533,-6.322143280015442,-8.41362063000184,30.238639129011748,-13.334358868669248,3.31,1.57,7.0,79.2,-16.0,95.0,2236.0,6.5,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.98,0.06,0.043,0.0,1.0,0.0,0.0,2.0,26,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,215.0,0.019,-0.367,,,0.063,0.367,88.0,0,0,0.5271541224287778,0.4728458775712222,25,24,26,24,2,1,9.0,1.0,7.0,1.0,1.16,0.57,-0.57,43.0,,,,,
FF,2024-03-30,93.9,-1.42,5.39,"Yamamoto, Yoshinobu",669357,808967,,ball,,,,,14.0,Ball,R,L,R,LAD,STL,B,,,1,0,2024,-0.52,1.38,1.54,2.32,,,,1,4,Top,,,,,,,8.815368270503512,-136.4032035343515,-5.278801418157786,-8.426656325214228,30.006331891907507,-13.946207309226374,3.63,1.75,,,,93.9,2234.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.09,,,,,,,,26,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,213.0,0.0,0.072,,,,-0.072,,0,0,0.5271541224287778,0.4728458775712222,25,24,26,24,2,1,9.0,1.0,7.0,1.0,1.21,0.52,-0.52,42.4,,,,,
